"employee_id","first_name","last_name","gender","email","phone_number","address","birthdate","ssn","job_title","department","salary","hire_date","hashed_password"
"25361","Andrea","Young","Other","mitchell05@example.net","001-729-992-7759x7231","3520 Collins Pine Espinozastad, DE 97640","1987-11-01","039-35-0550","Politician's assistant","Engineering","117384","2017-06-15","$2b$12$PkdGyTiHcqYpLEQw05GZ2OtDxk7rRX930p2lThth7XAtSPssoXo3K"
"16372","Don","Craig","Male","bondjessica@example.net","(869)332-3378x68075","177 Briana Lodge North Susanbury, FL 33278","1988-05-25","650-48-4208","Therapist; sports","Sales","78127","2019-04-07","$2b$12$Cd9TmIBzO8Mj0ydc3dHjGOuef6V2a8dRKq/VXLAjyOYN7r3H30PL6"
"74907","Randy","Rivera","Other","xharding@example.com","(632)379-1930","5616 Potter Streets Huntview, VT 07922","1998-07-19","325-60-1695","Communications engineer","Finance","107305","2017-03-19","$2b$12$jddpdfrL6SN6L8YR8yrAbuiHLmNZBU9m7AIqAQPwMnVuabbWk7xlG"
"15060","Matthew","Lam","Female","rachel55@example.com","(744)974-6568","2662 Samantha Stravenue Tinaport, MO 89898","1984-12-10","031-34-8633","Proofreader","Engineering","142768","2018-11-25","$2b$12$xa52NWXY4Isu2LZqwp6ZFOeJbtEY0LUeADnr.CW1kgxYysFts49W6"
"44578","Michele","Lee","Female","danielhinton@example.com","+1-236-534-2769","Unit 7414 Box 3995 DPO AP 66489","1984-12-26","895-53-0014","Surveyor; commercial/residential","Marketing","97754","2017-12-19","$2b$12$.ojuhxX8Myh087/4H477oOEEvCedaB5d5c8M/YoBdtLJy8Nic.rVu"
"33949","Bryan","Reid","Other","barnesheather@example.com","311.564.1633x63812","612 James Walks Jessicafurt, WA 06211","1967-01-03","472-64-6403","Broadcast presenter","HR","125803","2022-01-12","$2b$12$p3Kgsnz0KAZC3dzIQ5icJOIMkABrxulOeZJuY9Wz0DLCavskWoMSK"
"34500","Mary","Smith","Male","pkirby@example.org","213-789-8941x4442","PSC 5771, Box 9645 APO AA 73228","2001-10-25","741-88-8671","Hotel manager","HR","149726","2020-01-21","$2b$12$45GMvfb0UJxvVDD3yNzaTe9j/mBh2QurHsB0tU1XvxTSWC1XWZjim"
"88799","Elizabeth","Thomas","Female","randy95@example.net","570-999-1702x478","0929 Regina Garden East Christopherport, KY 19225","1992-07-05","300-72-9500","Actuary","Finance","79307","2021-05-22","$2b$12$ss8MgsPTxXsujFDUYP76/egUVQ3f76YBtU4VwX7APwf7j817gbSx6"
"84664","Michael","Larson","Male","alexandra68@example.net","+1-270-653-0453","491 Carrie Neck South Angela, MP 20797","1987-11-27","670-60-2324","Sales promotion account executive","Sales","140487","2019-01-07","$2b$12$thzH1IBU3yckETlJNNDwnObWy.RrA75ubHbNyD8BVEZjSyzdz7CYC"
"31456","John","Jenkins","Other","flemingcaroline@example.net","359-445-0347x8998","274 Mcdowell Falls Suite 764 Fisherstad, MH 92597","1967-09-17","621-54-5041","Tourist information centre manager","Finance","69859","2019-07-08","$2b$12$UCVfrtHxZiy.YQibuzDt4OJeiEzWgsDDKnXm1ELbxtC1SV4nwtk5q"
"89780","Carmen","Hampton","Male","benjamin55@example.net","513.768.2619","5963 Mccall Neck Apt. 518 Lake Marvin, KY 65995","1981-07-19","357-80-5663","Private music teacher","Sales","137792","2023-01-09","$2b$12$RXGCz91J5G48Ufj8vaCPDOxHRU9AmJAi2oFiHodzXnebPFfE1VD8u"
"35989","Janet","Holmes","Male","michaelhawkins@example.com","416-575-6461","504 Michael Prairie New Robert, MI 51965","1966-11-21","785-54-9881","Merchant navy officer","Marketing","66898","2016-01-25","$2b$12$vId5W0FyUHWqOcgSmQ2DxevQjpk2.yrRAipLL4XIwx.iUEitRbaxu"
"40102","Nicole","Washington","Female","keithstephens@example.org","001-761-613-7954","98001 James Field South Amyton, MS 05518","1985-02-09","349-15-4009","Musician","HR","133444","2017-08-26","$2b$12$0Nz.wg8rGiNO4cWeEsu6ouu/CGNgJJBipjMUhAV7kD3C9SmyLutk."
"59253","Michael","Garcia","Other","joshualevy@example.com","(785)785-7588x43413","6453 Douglas Street Suite 589 Port Teresa, AL 43143","1971-05-31","036-53-9393","Charity officer","Marketing","140833","2015-09-10","$2b$12$RCUeA95LGWM91pNcIAITJei4/c/wQzYv.gZoUoKuVJjuYbuVKpMbm"
"72817","Ryan","Zimmerman","Other","jennifer34@example.net","867.486.9605x283","541 Davis Hollow Suite 706 Steelestad, MI 91576","1972-01-16","813-31-7455","Charity officer","Finance","40483","2015-04-24","$2b$12$lEP1PbKjL/bwAV8s6ZiTRexeWTw13VqPCfVuwvc1qyY1ZtW.SXuiS"
"80179","Lance","Collins","Female","mcintyresarah@example.net","291.494.3160","8780 Gary Vista Apt. 641 Rochamouth, LA 75898","1959-11-13","882-75-5487","Engineer; maintenance","IT","86547","2015-04-26","$2b$12$KqZJ2JGVKrTupGzvXrzXz.ztygQ5JWkW6FyYYYFD8PdqUrMwofWnO"
"65826","Loretta","Dean","Female","jeremymiller@example.org","312.701.6119x1301","1993 Bradley Fort Apt. 347 Staceymouth, GA 92522","1997-05-17","339-63-7456","Music therapist","HR","81717","2021-07-14","$2b$12$LBQakmcQS8HZbmhQvFTDlOjOeykoRJc1br9FJB3W0DNDyq.S1IWZm"
"81471","Kelly","Tapia","Female","pflynn@example.net","+1-262-909-8052x179","175 Douglas Rest Lake Stephen, WI 84914","1984-04-21","131-30-0944","Education administrator","IT","132465","2023-11-07","$2b$12$g7GApQPDGYFDPN7H2K/XOuQfMui3oMtmZKJkmtHjFVFWxFqkDTePq"
"67080","Jason","Gardner","Female","heathmichael@example.net","9026700567","503 Rogers Glen Suite 861 Jensenhaven, ME 36192","1974-06-24","546-68-2159","Fashion designer","Marketing","52752","2022-12-16","$2b$12$QK0ILXzpjy93OpE506hh0evVrJ0ZYSpTGqBJV/vYYK0nOXzUMUoJi"
"87678","Hannah","Gonzalez","Female","jwinters@example.net","(481)939-3393x567","4745 Goodman Brooks Suite 646 West Kathleen, NY 33883","1968-08-29","685-78-5846","Conservator; furniture","Finance","59929","2019-03-28","$2b$12$eS5XBS6vPtwspe28ghmEhekDjqGYp6UgADe00RDdAMStQ2Jnh1Mri"
"89226","Corey","Harrington","Male","tinahernandez@example.com","485.892.2422x975","7823 Angela Prairie Suite 268 Hessside, PR 90127","1980-03-03","462-14-0643","Town planner","IT","97712","2023-08-22","$2b$12$MmPl4ubwu4h7ohFRPKpsNe4UraiY1nB0pqYEW6oxjEHjIIi9sK.BC"
"79319","Lauren","Smith","Other","erikthomas@example.net","8916823531","PSC 2176, Box 6512 APO AP 04425","1986-01-15","741-69-4443","Software engineer","IT","132931","2019-08-08","$2b$12$g2FeXZWDzK2IoLY0Aj7W8.rpLMumi4iS2uDFVd3A6RX.yK4oeK0D2"
"82307","Charlene","Beck","Female","katherinelee@example.com","334.766.1106","88496 Robinson Port Shannonport, IL 63666","1980-08-11","571-18-4667","Insurance risk surveyor","IT","44278","2018-01-14","$2b$12$EZs2UXTjRPVnlaQwIjsSqu3lxlJqMJ4r5sKJhhwiiuOj9XbjdiuU6"
"41582","Austin","Allen","Other","michaelgibson@example.org","(627)593-4732","27029 Watts Courts Suite 319 North Donna, TX 75718","1972-05-01","100-69-6779","Adult guidance worker","Marketing","105553","2022-02-20","$2b$12$te8b3rtavFCu5DVUstCYf.GC.79tIAah03ErYCe5B8cCye6sLNDWi"
"30458","Tracy","Moore","Female","awhite@example.com","667.528.2871x229","72895 Mendez Park Port Reginaldhaven, MT 93321","1980-06-29","084-80-9450","Presenter; broadcasting","Finance","95601","2016-03-14","$2b$12$PHs8o8P6qhmNiIDeLRC4dO3KV2lufF1RafgsOPXpYlRDT4xz/7kfu"
"41611","Clayton","Bennett","Female","xunderwood@example.org","232.236.5052x1202","215 John Track South James, OK 74568","1989-05-04","122-81-8790","Comptroller","HR","85981","2023-01-10","$2b$12$r2pkt5MtxYCRx9khx52y7OnQ9RmL3cX94h8Ew0DFT6r02ouAzzg/a"
"81902","Sarah","Carr","Other","bryantbrian@example.net","707.671.0171x27992","8692 Taylor Lodge Annashire, AL 01592","1970-01-07","117-97-8735","Retail buyer","Sales","45930","2016-06-25","$2b$12$pUn3gCvVFxVpyys.trGQD.wuGqMLf3QJ8ihf4irSe2wmSgVH4nEmG"
"73900","Stephanie","Russell","Male","robbinszachary@example.org","+1-585-438-0659x6910","PSC 1914, Box 4229 APO AE 75431","2000-09-15","463-92-3176","Product/process development scientist","HR","91689","2017-09-15","$2b$12$/Ad/0uxZvp5lzJuH/nh39uAI0ZiS68G86DjQb2kWjOcx.LC.QP.ya"
"22557","Sara","Walker","Female","lisasanders@example.com","001-959-582-3824","51991 Monica Court Suite 732 New Michael, WI 72648","1996-01-29","768-85-5765","Bookseller","Engineering","47582","2015-08-01","$2b$12$S6xWj/i4ErWMVfMxpQuRqOitacsePW3AG9zp7PZlIueckihihDFWa"
"53781","Lori","Johnson","Male","jeff45@example.org","001-499-268-2240x63149","Unit 8706 Box 9801 DPO AP 27748","1990-10-09","062-36-7019","Fast food restaurant manager","Finance","93797","2023-03-12","$2b$12$yllL0WKmt6HDM9p8FuZJweKOvvsTRzC0aVR9bHCY4a6CfMcofFHu2"
